,temporada_alta,dif_min,atraso_15,periodo_dia
0,1,3.0,0,PM2
1,1,9.0,0,PM2
2,1,9.0,0,PM2
3,1,3.0,0,PM2
4,1,-2.0,0,PM2
5,1,34.0,1,PM2
6,1,-5.0,0,PM2
7,1,-5.0,0,PM2
8,1,40.0,1,PM2
9,1,69.0,1,PM2
10,1,-9.0,0,PM2
11,1,14.0,0,PM2
12,1,-7.0,0,PM2
13,1,-4.0,0,PM2
14,1,-11.0,0,PM2
15,1,-9.0,0,PM2
16,1,-9.0,0,PM2
17,1,-12.0,0,PM2
18,1,15.0,0,PM2
19,1,-2.0,0,PM2
20,1,2.0,0,PM2
21,1,8.0,0,PM2
22,1,-5.0,0,PM2
23,1,52.0,1,PM2
24,1,-5.0,0,PM2
25,1,0.0,0,PM2
26,1,26.0,1,PM2
27,1,-3.0,0,PM2
28,1,-5.0,0,PM2
29,1,2.0,0,PM2
30,1,2.0,0,PM2
31,1,-7.0,0,PM2
32,1,-1.0,0,PM2
33,1,5.0,0,PM2
34,1,-4.0,0,PM2
35,1,1.0,0,PM2
36,1,-5.0,0,PM2
37,1,3.0,0,PM2
38,1,-2.0,0,PM2
39,1,-4.0,0,PM2
40,1,-6.0,0,PM2
41,1,4.0,0,PM2
42,1,-4.0,0,PM2
43,1,-4.0,0,PM2
44,1,-9.0,0,PM2
45,1,-10.0,0,PM2
46,1,0.0,0,PM2
47,1,-2.0,0,PM2
48,1,1.0,0,PM2
49,1,-4.0,0,PM2
50,1,10.0,0,PM2
51,1,20.0,1,PM2
52,1,11.0,0,PM2
53,1,24.0,1,PM2
54,1,-5.0,0,PM2
55,1,-7.0,0,PM2
56,1,14.0,0,PM2
57,1,5.0,0,PM2
58,1,0.0,0,PM2
59,1,25.0,1,PM2
60,1,1.0,0,PM2
61,1,0.0,0,PM2
62,1,-4.0,0,PM2
63,1,13.0,0,PM2
64,1,-3.0,0,PM2
65,1,2.0,0,PM2
66,1,-5.0,0,PM2
67,1,0.0,0,PM2
68,1,-2.0,0,PM2
69,1,3.0,0,PM2
70,1,-9.0,0,PM2
71,1,5.0,0,PM2
72,1,-3.0,0,PM2
73,1,-4.0,0,PM2
74,1,-10.0,0,PM2
